id x y z vx vy vz fx fy fz c_apE 
1 0 1.70318 1.1715 2.61576 3.52507 3.39615 -3.21965e-15 -3.29767e-07 2.51188e-15 -4.96721 
2 4.425 9.36751 1.1715 -3.70562 -2.42251 0.623723 -1.22125e-15 -3.29767e-07 8.04912e-16 -4.96721 
3 0 1.70318 5.8575 1.65106 -2.25466 -0.247386 -3.88578e-15 -3.29767e-07 3.46945e-17 -4.96721 
4 4.425 9.36751 5.8575 -1.23527 1.16712 -1.52393 -1.27676e-15 -3.29767e-07 -7.42462e-16 -4.96721 
5 0 1.70318 10.5435 1.10502 -0.953228 -1.95517 5.55112e-16 -3.29767e-07 1.19349e-15 -4.96721 
6 4.425 9.36751 10.5435 -1.16868 -0.018669 2.67732 0 -3.29767e-07 -1.61676e-15 -4.96721 
7 7.375 4.25796 1.1715 -1.79868 -0.0352178 7.04663 9.99201e-16 -3.29767e-07 -2.08167e-15 -4.96721 
8 2.95 11.9223 1.1715 -3.9688 -0.90047 2.1432 -4.4964e-15 -3.29767e-07 -3.60822e-16 -4.96721 
9 7.375 4.25796 5.8575 -1.33605 2.71531 0.0218423 3.66374e-15 -3.29767e-07 -8.60423e-16 -4.96721 
10 2.95 11.9223 5.8575 -1.19979 2.5887 0.341647 5.32907e-15 -3.29767e-07 8.46297e-17 -4.96721 
11 7.375 4.25796 10.5435 -2.59134 2.96278 1.62826 -3.94129e-15 -3.29767e-07 -3.88578e-16 -4.96721 
12 2.95 11.9223 10.5435 -3.12068 -0.0426303 1.33216 -4.44089e-16 -3.29767e-07 -3.48269e-16 -4.96721 
13 5.9 6.81273 1.1715 2.68992 -1.54118 1.28614 5.92235e-15 -3.29767e-07 1.36002e-15 -4.96721 
14 1.475 14.4771 1.1715 -1.98858 0.456091 -0.478828 3.02536e-15 -3.29767e-07 1.94289e-15 -4.96721 
15 5.9 6.81273 5.8575 2.11502 1.74136 -1.70335 2.1632e-15 -3.29767e-07 -6.10623e-16 -4.96721 
16 1.475 14.4771 5.8575 3.07187 3.22386 2.68181 -5.10703e-15 -3.29767e-07 -8.32667e-17 -4.96721 
17 5.9 6.81273 10.5435 -1.70051 -1.69636 -2.65755 4.9908e-15 -3.29767e-07 -4.71845e-16 -4.96721 
18 1.475 14.4771 10.5435 -3.3073 -1.12252 -2.52463 -1.27676e-15 -3.29767e-07 -2.77556e-16 -4.96721 
19 2.95 1.70318 1.1715 1.3687 1.37225 1.28585 -4.4964e-15 -3.29767e-07 8.87339e-16 -4.96721 
20 7.375 9.36751 1.1715 -2.7744 -0.212783 -0.426464 -4.4964e-15 -3.29767e-07 -7.21645e-16 -4.96721 
21 2.95 1.70318 5.8575 -5.32738 2.88573 -1.03065 -2.77556e-16 -3.29767e-07 8.89576e-16 -4.96721 
22 7.375 9.36751 5.8575 1.70243 0.0195405 -3.36118 3.30291e-15 -3.29767e-07 -7.77156e-16 -4.96721 
23 2.95 1.70318 10.5435 1.18275 -1.97644 -1.35027 6.10623e-16 -3.29767e-07 3.86043e-16 -4.96721 
24 7.375 9.36751 10.5435 -1.52333 0.271247 1.48496 -1.249e-15 -3.29767e-07 2.77556e-16 -4.96721 
25 1.475 4.25796 1.1715 1.32709 5.02178 -0.326486 5.44009e-15 -3.29767e-07 3.83443e-16 -4.96721 
26 5.9 11.9223 1.1715 0.250521 4.81631 1.61135 3.21965e-15 -3.29767e-07 7.77156e-16 -4.96721 
27 1.475 4.25796 5.8575 -1.59045 -0.766079 1.04677 1.4988e-15 -3.29767e-07 -1.91177e-16 -4.96721 
28 5.9 11.9223 5.8575 4.49671 -1.31817 0.0120632 -2.22045e-16 -3.29767e-07 -2.34535e-15 -4.96721 
29 1.475 4.25796 10.5435 1.07054 -0.758399 1.80574 3.91354e-15 -3.29767e-07 -2.44669e-19 -4.96721 
30 5.9 11.9223 10.5435 0.798837 -1.94326 0.655869 1.33227e-15 -3.29767e-07 7.91034e-16 -4.96721 
